Nome,Email,CPF,Data_Nascimento,Endereco
Ana Almeida,ana.almeida47@gmail.com,272.631.706-39,2004-12-19,"Av. Faro, 1392, MT"
Amanda Silva,amanda.silva52@yahoo.com,602.952.329-79,1971-12-24,"Rua Gana, 1010, RJ"
Carlos Araújo,carlos.araújo55@yahoo.com,492.596.652-77,1965-01-07,"Rua Gana, 742, BA"
Aline Costa,aline.costa66@email.com,831.573.685-34,1973-09-21,"Rua das Flores, 539, PR"
José Mendes,josé.mendes93@email.com,397.765.179-24,1962-06-13,"Av. Faro, 1435, MG"
Helena Duarte,helena.duarte68@gmail.com,423.593.822-85,1970-07-15,"Rua das Flores, 873, SC"
Aline Silva,aline.silva98@yahoo.com,740.997.503-10,1998-04-27,"Av. Brasil, 1328, MT"
Juliana Martins,juliana.martins69@yahoo.com,699.175.123-39,1970-02-06,"Rua Chile, 104, ES"
Diego Rezende,diego.rezende82@gmail.com,835.604.625-81,1984-10-22,"Av. Paulista, 1589, GO"
Priscila Silva,priscila.silva65@yahoo.com,708.277.159-94,1990-02-24,"Av. Paulista, 1613, PR"
Laura Lopes,laura.lopes48@gmail.com,924.268.739-55,1960-02-25,"Av. Faro, 753, MG"
Davi Lima,davi.lima72@yahoo.com,731.338.678-50,1985-07-15,"Av. Brasil, 262, RS"
Marcelo Santos,marcelo.santos80@outlook.com,300.994.512-96,1966-07-25,"Rua Elmo, 1309, GO"
Carolina Teixeira,carolina.teixeira16@gmail.com,678.225.380-67,2005-08-02,"Av. Brasil, 1386, BA"
Maria Rocha,maria.rocha41@email.com,297.237.987-24,1981-06-20,"Rua Bahia, 1077, SC"
Thiago Vieira,thiago.vieira25@email.com,968.935.890-34,1990-07-12,"Av. Faro, 1795, GO"
Lorenzo Freitas,lorenzo.freitas55@gmail.com,933.230.828-28,1961-03-26,"Av. Paulista, 773, BA"
Vanessa Moreira,vanessa.moreira52@outlook.com,178.600.464-16,2001-11-12,"Av. Faro, 64, GO"
Maria Batista,maria.batista22@email.com,111.897.795-96,1969-05-09,"Rua H, 1352, RS"
Juliana Pinto,juliana.pinto84@gmail.com,619.291.391-32,1994-11-04,"Rua Amazonas, 500, BA"
Larissa Pires,larissa.pires96@email.com,729.975.693-78,1976-08-26,"Rua Gana, 802, MG"
Renata Lopes,renata.lopes34@gmail.com,761.438.416-99,1992-04-16,"Rua Dover, 510, GO"
Ricardo Gomes,ricardo.gomes28@email.com,824.234.255-27,1989-12-16,"Rua das Flores, 221, BA"
Laura Fernandes,laura.fernandes18@gmail.com,139.685.518-59,1963-09-08,"Rua Dover, 1276, MT"
Daniela Dias,daniela.dias39@outlook.com,277.820.600-85,1984-06-17,"Rua I, 1612, RS"
Ana Nascimento,ana.nascimento37@outlook.com,685.646.113-54,1965-03-10,"Rua das Flores, 1577, GO"
Bernardo Mendes,bernardo.mendes47@gmail.com,358.898.342-75,1974-01-19,"Rua Elmo, 1955, ES"
Carlos Freitas,carlos.freitas39@email.com,616.648.219-20,1999-04-24,"Av. Faro, 1702, RS"
Amanda Nunes,amanda.nunes51@gmail.com,106.407.511-60,1967-10-27,"Rua das Flores, 1002, GO"
Pedro Lopes,pedro.lopes82@yahoo.com,702.242.575-49,1999-11-13,"Av. Brasil, 368, SP"
Vanessa Rezende,vanessa.rezende95@outlook.com,329.501.662-84,1992-05-25,"Rua Amazonas, 841, BA"
Bianca Fernandes,bianca.fernandes88@yahoo.com,838.629.302-10,1986-10-17,"Rua Chile, 1599, RJ"
Bernardo Guerra,bernardo.guerra50@gmail.com,319.990.206-36,1964-09-24,"Rua H, 379, SC"
Heitor Nunes,heitor.nunes47@yahoo.com,291.505.899-84,1988-02-23,"Rua Bahia, 165, GO"
Marcelo Cardoso,marcelo.cardoso54@outlook.com,248.678.575-78,2003-08-09,"Rua Chile, 1083, RS"
Bruno Monteiro,bruno.monteiro24@yahoo.com,455.550.625-98,1995-02-19,"Rua H, 1744, SP"
Juliana Barbosa,juliana.barbosa85@outlook.com,629.787.801-16,1998-08-01,"Rua Dover, 426, GO"
Valentina Silva,valentina.silva12@outlook.com,806.809.472-41,1964-08-07,"Rua H, 342, RS"
Felipe Almeida,felipe.almeida64@email.com,740.567.671-53,1961-11-22,"Rua H, 1840, SC"
Gabriel Souza,gabriel.souza46@outlook.com,263.141.248-35,1996-09-28,"Rua I, 154, BA"
Marcos Pinto,marcos.pinto73@yahoo.com,901.757.215-66,1976-02-19,"Rua Dover, 271, PR"
Priscila Batista,priscila.batista56@outlook.com,413.980.454-17,1981-11-15,"Rua J, 1510, RJ"
Daniela Gomes,daniela.gomes57@gmail.com,179.729.147-43,1984-04-15,"Rua Amazonas, 826, SC"
Gabriel Martins,gabriel.martins87@gmail.com,645.387.729-26,1986-07-24,"Rua Amazonas, 1000, ES"
Leonardo Souza,leonardo.souza74@outlook.com,842.258.859-16,1985-02-03,"Rua Elmo, 961, SP"
Amanda Fernandes,amanda.fernandes69@email.com,394.862.484-16,1979-07-07,"Rua Chile, 1146, MG"
Letícia Rodrigues,letícia.rodrigues74@email.com,256.946.479-91,2002-09-08,"Rua Bahia, 912, BA"
Larissa Souza,larissa.souza60@gmail.com,646.201.276-90,1999-01-22,"Rua Elmo, 1227, BA"
Pedro Pires,pedro.pires91@outlook.com,563.708.133-30,1998-12-06,"Rua das Flores, 932, ES"
João Marques,joão.marques11@gmail.com,634.576.571-23,1976-08-03,"Rua Bahia, 1131, SP"
Laura Melo,laura.melo94@gmail.com,123.756.749-95,1983-04-02,"Rua H, 1556, MT"
João Souza,joão.souza95@outlook.com,237.806.518-95,1997-01-20,"Rua J, 1309, PR"
Aline Freitas,aline.freitas44@email.com,223.251.369-17,1980-06-05,"Rua Gana, 839, RS"
Daniela Almeida,daniela.almeida48@yahoo.com,879.966.622-69,1999-10-02,"Av. Faro, 1917, GO"
Ricardo Andrade,ricardo.andrade22@gmail.com,209.475.842-67,1971-09-15,"Rua das Flores, 1644, GO"
Ricardo Batista,ricardo.batista80@gmail.com,967.283.732-87,1966-10-07,"Rua Amazonas, 859, RJ"
Pedro Pinto,pedro.pinto57@email.com,106.383.860-39,2001-11-07,"Av. Brasil, 1236, PR"
Vitor Moreira,vitor.moreira68@yahoo.com,573.319.321-80,1976-01-11,"Rua Elmo, 1030, BA"
Beatriz Ribeiro,beatriz.ribeiro72@gmail.com,908.746.994-18,1984-06-20,"Rua Elmo, 153, RS"
José Lima,josé.lima67@outlook.com,233.630.802-43,1993-08-14,"Av. Faro, 1411, MG"
Helena Nunes,helena.nunes23@yahoo.com,719.712.909-43,1960-07-23,"Rua I, 621, PR"
Rodrigo Araújo,rodrigo.araújo24@outlook.com,224.580.452-95,1973-09-03,"Rua Elmo, 1674, GO"
Gustavo Lima,gustavo.lima53@gmail.com,257.661.812-83,1987-12-12,"Rua Bahia, 1961, MT"
Rafael Moreira,rafael.moreira22@email.com,870.454.426-78,1981-10-10,"Av. Paulista, 691, GO"
Carlos Pires,carlos.pires40@outlook.com,903.233.627-27,1985-04-09,"Rua H, 1725, SC"
Arthur Andrade,arthur.andrade82@outlook.com,214.757.505-15,1968-11-18,"Rua Bahia, 132, SC"
Marcelo Almeida,marcelo.almeida13@gmail.com,688.397.318-11,1962-02-12,"Av. Brasil, 857, ES"
Vitor Rocha,vitor.rocha91@outlook.com,811.453.906-92,1960-07-16,"Rua Bahia, 766, SP"
Carlos Cardoso,carlos.cardoso39@yahoo.com,748.873.866-79,1981-10-11,"Av. Faro, 1317, GO"
Heitor Freitas,heitor.freitas90@yahoo.com,918.811.957-18,1971-11-09,"Rua J, 1861, SP"
Arthur Martins,arthur.martins71@yahoo.com,841.915.553-53,1961-11-15,"Rua Elmo, 672, SC"
Beatriz Pereira,beatriz.pereira34@email.com,104.277.982-80,1984-12-20,"Av. Paulista, 976, PR"
Gustavo Lopes,gustavo.lopes17@yahoo.com,294.308.850-15,1976-11-24,"Av. Faro, 1340, SC"
Davi Pires,davi.pires65@email.com,910.166.879-97,1976-04-06,"Rua Chile, 303, SC"
Marcos Teixeira,marcos.teixeira32@email.com,408.701.556-98,2005-07-02,"Rua Dover, 1088, MG"
Gabriel Duarte,gabriel.duarte93@gmail.com,251.484.722-23,1989-08-15,"Rua das Flores, 1502, GO"
Patrícia Teixeira,patrícia.teixeira37@email.com,994.927.303-60,1975-12-17,"Rua Chile, 1757, RJ"
Gustavo Marques,gustavo.marques26@gmail.com,164.658.461-85,1976-06-02,"Av. Brasil, 1715, RS"
Beatriz Melo,beatriz.melo22@email.com,251.529.382-85,1981-10-14,"Rua Bahia, 1602, GO"
Lucas Nascimento,lucas.nascimento75@yahoo.com,982.917.121-77,1962-12-27,"Rua Elmo, 620, RS"
Ricardo Botelho,ricardo.botelho61@outlook.com,114.369.724-83,1982-09-06,"Rua Chile, 555, SC"
Larissa Fernandes,larissa.fernandes88@email.com,442.549.233-13,1992-07-01,"Rua Gana, 1904, PR"
Beatriz Nunes,beatriz.nunes28@gmail.com,768.584.385-13,1995-05-13,"Rua Gana, 678, GO"
Vitor Rodrigues,vitor.rodrigues76@email.com,894.927.990-57,1985-11-10,"Rua Bahia, 1244, MT"
Heitor Lopes,heitor.lopes58@yahoo.com,926.532.613-74,1988-12-24,"Rua Dover, 135, PR"
Arthur Mendes,arthur.mendes33@outlook.com,519.218.974-57,2003-03-01,"Rua Elmo, 1355, MG"
Eduardo Costa,eduardo.costa73@outlook.com,968.844.681-53,1974-07-04,"Rua Bahia, 1876, ES"
Diego Lima,diego.lima77@outlook.com,113.780.542-56,2002-09-11,"Rua Dover, 1412, MG"
Eduardo Rezende,eduardo.rezende54@email.com,653.170.957-26,1970-08-05,"Rua Gana, 1916, SC"
Vitor Lima,vitor.lima73@yahoo.com,758.482.107-92,1975-06-28,"Rua das Flores, 213, MG"
Larissa Costa,larissa.costa57@email.com,432.514.204-72,1982-02-18,"Rua I, 1345, MT"
Priscila Vieira,priscila.vieira25@outlook.com,407.659.795-24,2003-02-16,"Rua H, 1462, RJ"
Juliana Rezende,juliana.rezende25@outlook.com,774.467.723-59,1976-08-18,"Rua Chile, 1318, MG"
Marcelo Lima,marcelo.lima99@email.com,778.135.801-54,1982-11-02,"Rua Amazonas, 752, PR"
José Rezende,josé.rezende35@gmail.com,944.741.265-34,1993-09-06,"Rua das Flores, 1262, RJ"
José Vieira,josé.vieira71@outlook.com,818.213.948-78,2000-06-13,"Rua J, 271, ES"
Daniela Duarte,daniela.duarte34@gmail.com,614.118.358-50,1996-10-20,"Rua Gana, 1829, PR"
Ana Cavalcanti,ana.cavalcanti29@outlook.com,390.570.344-89,1984-11-15,"Rua Dover, 1167, SC"
Amanda Teixeira,amanda.teixeira90@outlook.com,174.997.526-39,1991-07-24,"Rua I, 249, BA"
Gabriel Monteiro,gabriel.monteiro16@outlook.com,662.470.624-28,1973-09-23,"Av. Paulista, 339, MG"
Helena Martins,helena.martins62@email.com,203.494.238-58,1997-04-17,"Rua Dover, 1142, SP"
Vanessa Dias,vanessa.dias61@yahoo.com,984.906.964-51,1988-01-02,"Rua Dover, 898, BA"
Lucas Marques,lucas.marques95@yahoo.com,927.341.340-30,1982-05-04,"Rua I, 102, MT"
André Melo,andré.melo82@yahoo.com,414.527.237-39,1974-02-27,"Av. Paulista, 585, ES"
Daniela Araújo,daniela.araújo59@outlook.com,945.391.993-93,1966-07-16,"Rua das Flores, 1386, BA"
Julia Cavalcanti,julia.cavalcanti35@gmail.com,383.855.652-53,1992-06-01,"Rua Gana, 229, BA"
Gustavo Rezende,gustavo.rezende47@yahoo.com,625.598.331-24,1975-05-08,"Rua Dover, 1690, MG"
Leonardo Dias,leonardo.dias20@email.com,376.823.308-90,1977-05-26,"Rua Amazonas, 848, RS"
João Teixeira,joão.teixeira26@email.com,741.398.348-67,1966-12-08,"Rua Amazonas, 551, BA"
Marcos Fernandes,marcos.fernandes74@email.com,106.968.549-27,1977-09-10,"Rua Dover, 1885, ES"
Thiago Oliveira,thiago.oliveira94@outlook.com,568.634.713-96,1960-09-10,"Rua das Flores, 557, BA"
Mariana Rezende,mariana.rezende93@yahoo.com,468.164.787-35,1968-08-20,"Rua J, 113, RS"
Bernardo Rezende,bernardo.rezende62@yahoo.com,125.324.401-42,1981-05-07,"Rua Chile, 396, MG"
Leonardo Rodrigues,leonardo.rodrigues35@yahoo.com,973.195.924-95,1989-10-25,"Rua I, 448, SP"
Daniela Lopes,daniela.lopes53@gmail.com,318.213.789-26,1960-10-26,"Rua Dover, 721, MT"
Aline Carvalho,aline.carvalho63@gmail.com,738.911.909-90,1967-03-27,"Rua Dover, 1375, ES"
Heitor Cavalcanti,heitor.cavalcanti47@email.com,625.651.955-78,1983-06-02,"Rua das Flores, 1473, GO"
Mariana Martins,mariana.martins88@outlook.com,375.560.139-38,1963-10-19,"Rua Chile, 135, RS"
Julia Mendes,julia.mendes90@outlook.com,856.193.631-15,1968-07-21,"Rua das Flores, 226, RS"
Valentina Pereira,valentina.pereira83@gmail.com,740.777.159-35,1982-07-17,"Av. Brasil, 747, ES"
Letícia Vieira,letícia.vieira70@yahoo.com,451.873.671-51,1997-04-04,"Av. Paulista, 356, GO"
Aline Ribeiro,aline.ribeiro63@email.com,366.896.928-77,1971-04-03,"Rua H, 1082, RJ"
Rafael Freitas,rafael.freitas83@email.com,935.141.170-24,1994-04-06,"Av. Faro, 1033, GO"
Diego Cardoso,diego.cardoso12@gmail.com,237.654.916-70,1982-11-09,"Av. Faro, 458, PR"
Julia Fernandes,julia.fernandes21@email.com,115.389.321-34,1977-06-23,"Av. Paulista, 849, GO"
Thiago Duarte,thiago.duarte48@email.com,738.620.131-72,1989-11-12,"Rua Chile, 1849, ES"
Ricardo Rezende,ricardo.rezende69@gmail.com,824.222.797-64,2003-06-06,"Rua Elmo, 1938, GO"
Ricardo Martins,ricardo.martins88@yahoo.com,256.682.199-39,1999-07-01,"Rua Chile, 330, RS"
Gustavo Pinto,gustavo.pinto74@email.com,923.909.393-88,1973-07-10,"Rua I, 754, RS"
Diego Gomes,diego.gomes82@email.com,553.865.408-65,1967-09-18,"Rua das Flores, 204, PR"
Sonia Cardoso,sonia.cardoso50@yahoo.com,644.711.921-84,1966-11-23,"Av. Brasil, 1940, PR"
Ricardo Cavalcanti,ricardo.cavalcanti98@outlook.com,391.244.370-49,1999-01-05,"Av. Paulista, 424, ES"
Alice Guerra,alice.guerra61@yahoo.com,880.656.618-86,1973-07-18,"Av. Brasil, 18, RJ"
Lorenzo Machado,lorenzo.machado85@gmail.com,369.142.713-86,1969-08-23,"Rua H, 161, ES"
Leonardo Guerra,leonardo.guerra42@email.com,272.987.726-13,1975-04-01,"Rua Chile, 112, MT"
Priscila Machado,priscila.machado36@outlook.com,880.623.595-53,1993-10-11,"Rua I, 1382, ES"
Lorenzo Monteiro,lorenzo.monteiro72@email.com,299.687.328-71,1970-04-08,"Rua Chile, 232, ES"
Arthur Barbosa,arthur.barbosa12@email.com,653.570.904-15,1969-01-26,"Rua Chile, 345, SC"
Carlos Martins,carlos.martins76@gmail.com,233.759.277-66,2000-07-08,"Rua Amazonas, 22, MG"
Marcos Botelho,marcos.botelho66@gmail.com,581.873.785-60,1988-09-23,"Av. Paulista, 444, RS"
Vanessa Teixeira,vanessa.teixeira23@yahoo.com,218.755.760-63,1972-02-04,"Rua Dover, 1476, MT"
Valentina Lima,valentina.lima68@gmail.com,156.721.537-99,1977-01-03,"Av. Paulista, 1076, PR"
José Santos,josé.santos43@email.com,505.271.330-41,1988-04-08,"Rua das Flores, 1728, MG"
Vanessa Rodrigues,vanessa.rodrigues24@yahoo.com,343.917.343-31,1994-11-25,"Rua Bahia, 718, GO"
Ricardo Silva,ricardo.silva93@yahoo.com,451.785.351-97,1986-02-21,"Rua Dover, 786, SC"
Sonia Freitas,sonia.freitas52@outlook.com,862.525.221-43,2001-10-25,"Rua Chile, 878, SP"
Beatriz Fernandes,beatriz.fernandes78@gmail.com,437.249.686-54,1984-07-01,"Rua das Flores, 1292, SC"
Arthur Araújo,arthur.araújo44@yahoo.com,881.506.150-10,1984-03-11,"Rua Bahia, 1299, GO"
Renata Pereira,renata.pereira39@outlook.com,742.441.644-81,1997-07-04,"Rua I, 705, SC"
Felipe Nunes,felipe.nunes34@outlook.com,923.960.576-33,2001-10-21,"Rua Dover, 1448, RJ"
Marcos Souza,marcos.souza30@email.com,742.487.985-89,1966-08-24,"Av. Paulista, 1095, GO"
André Vieira,andré.vieira66@email.com,490.178.958-38,1970-01-06,"Rua H, 893, MT"
Amanda Melo,amanda.melo40@email.com,599.269.766-44,2005-02-27,"Rua I, 1236, GO"
Juliana Botelho,juliana.botelho22@email.com,544.254.711-36,2005-06-27,"Av. Brasil, 1781, MT"
Renata Martins,renata.martins46@email.com,956.698.540-58,1973-01-24,"Rua Chile, 159, RJ"
Julia Pinto,julia.pinto92@outlook.com,131.580.837-26,1971-07-18,"Rua Dover, 901, BA"
Juliana Mendes,juliana.mendes73@outlook.com,819.799.377-55,1974-11-16,"Rua I, 1741, BA"
Aline Andrade,aline.andrade37@outlook.com,919.521.904-35,1996-01-07,"Rua Amazonas, 1214, RS"
Rodrigo Almeida,rodrigo.almeida91@outlook.com,996.290.498-82,1962-11-06,"Rua H, 1503, RS"
Juliana Pires,juliana.pires73@email.com,824.312.115-14,1995-06-22,"Rua Amazonas, 1890, SP"
Bianca Pinto,bianca.pinto22@outlook.com,254.314.636-92,1961-10-20,"Rua Amazonas, 958, MT"
Heitor Pereira,heitor.pereira61@email.com,806.895.708-29,1987-01-02,"Rua Chile, 1872, MT"
Rafael Botelho,rafael.botelho71@yahoo.com,626.762.933-67,2004-08-22,"Rua Elmo, 37, MT"
Bianca Monteiro,bianca.monteiro75@yahoo.com,241.822.391-51,1996-06-28,"Rua Bahia, 1713, ES"
Valentina Araújo,valentina.araújo59@yahoo.com,725.757.939-74,1991-08-12,"Av. Faro, 1166, MG"
Davi Rodrigues,davi.rodrigues87@yahoo.com,802.593.176-68,1977-11-17,"Rua Amazonas, 1868, SP"
Maria Pereira,maria.pereira97@gmail.com,799.338.599-58,1996-05-19,"Rua das Flores, 518, PR"
Amanda Pereira,amanda.pereira92@gmail.com,896.373.330-39,1985-08-01,"Rua das Flores, 1436, SC"
Diego Santos,diego.santos70@email.com,907.929.844-44,1992-06-14,"Rua I, 1258, RS"
Lucas Pinto,lucas.pinto81@yahoo.com,877.678.911-67,1989-06-08,"Rua das Flores, 35, RS"
Marcelo Freitas,marcelo.freitas17@outlook.com,815.650.365-82,1969-11-24,"Av. Faro, 664, BA"
Ana Rodrigues,ana.rodrigues68@outlook.com,418.911.749-29,1984-08-21,"Rua Elmo, 297, RJ"
Marcelo Martins,marcelo.martins41@gmail.com,721.533.656-61,1964-03-28,"Rua J, 1641, ES"
Rodrigo Martins,rodrigo.martins46@gmail.com,514.527.799-77,1983-08-08,"Av. Brasil, 174, SP"
Valentina Carvalho,valentina.carvalho82@yahoo.com,366.796.399-32,1975-01-15,"Rua Chile, 1037, RJ"
Letícia Botelho,letícia.botelho98@gmail.com,108.994.944-34,1990-03-05,"Rua Chile, 208, GO"
